Clave,Descripción,Estado
1,AGUASCALIENTES,AGUASCALIENTES
2,ASIENTOS,AGUASCALIENTES
3,CALVILLO,AGUASCALIENTES
4,COSIO,AGUASCALIENTES
11,EL LLANO,AGUASCALIENTES
5,JESUS MARIA,AGUASCALIENTES
6,PABELLON DE ARTEAGA,AGUASCALIENTES
7,RINCON DE ROMOS,AGUASCALIENTES
10,SAN FRANCISCO DE LOS ROMO,AGUASCALIENTES
8,SAN JOSE DE GRACIA,AGUASCALIENTES
9,TEPEZALA,AGUASCALIENTES
1,ENSENADA,BAJA CALIFORNIA
2,MEXICALI,BAJA CALIFORNIA
5,PLAYAS DE ROSARITO,BAJA CALIFORNIA
7,SAN FELIPE,BAJA CALIFORNIA
6,SAN QUINTIN,BAJA CALIFORNIA
3,TECATE,BAJA CALIFORNIA
4,TIJUANA,BAJA CALIFORNIA
1,COMONDU,BAJA CALIFORNIA SUR
3,LA PAZ,BAJA CALIFORNIA SUR
5,LORETO,BAJA CALIFORNIA SUR
4,LOS CABOS,BAJA CALIFORNIA SUR
2,MULEGE,BAJA CALIFORNIA SUR
10,CALAKMUL,CAMPECHE
1,CALKINI,CAMPECHE
2,CAMPECHE,CAMPECHE
11,CANDELARIA,CAMPECHE
3,CARMEN,CAMPECHE
4,CHAMPOTON,CAMPECHE
9,ESCARCEGA,CAMPECHE
5,HECELCHAKAN,CAMPECHE
6,HOPELCHEN,CAMPECHE
7,PALIZADA,CAMPECHE
12,SEYBAPLAYA,CAMPECHE
8,TENABO,CAMPECHE
1,ACACOYAGUA,CHIAPAS
2,ACALA,CHIAPAS
3,ACAPETAGUA,CHIAPAS
113,ALDAMA,CHIAPAS
4,ALTAMIRANO,CHIAPAS
5,AMATAN,CHIAPAS
6,AMATENANGO DE LA FRONTERA,CHIAPAS
7,AMATENANGO DEL VALLE,CHIAPAS
8,ANGEL ALBINO CORZO,CHIAPAS
9,ARRIAGA,CHIAPAS
10,BEJUCAL DE OCAMPO,CHIAPAS
123,BELISARIO DOMINGUEZ,CHIAPAS
11,BELLA VISTA,CHIAPAS
114,BENEMERITO DE LAS AMERICAS,CHIAPAS
12,BERRIOZABAL,CHIAPAS
13,BOCHIL,CHIAPAS
15,CACAHOATAN,CHIAPAS
16,CATAZAJA,CHIAPAS
22,CHALCHIHUITAN,CHIAPAS
23,CHAMULA,CHIAPAS
24,CHANAL,CHIAPAS
25,CHAPULTENANGO,CHIAPAS
26,CHENALHO,CHIAPAS
27,CHIAPA DE CORZO,CHIAPAS
28,CHIAPILLA,CHIAPAS
29,CHICOASEN,CHIAPAS
30,CHICOMUSELO,CHIAPAS
31,CHILON,CHIAPAS
17,CINTALAPA,CHIAPAS
18,COAPILLA,CHIAPAS
19,COMITAN DE DOMINGUEZ,CHIAPAS
21,COPAINALA,CHIAPAS
14,EL BOSQUE,CHIAPAS
120,EL PARRAL,CHIAPAS
70,EL PORVENIR,CHIAPAS
121,EMILIANO ZAPATA,CHIAPAS
32,ESCUINTLA,CHIAPAS
33,FRANCISCO LEON,CHIAPAS
34,FRONTERA COMALAPA,CHIAPAS
35,FRONTERA HIDALGO,CHIAPAS
37,HUEHUETAN,CHIAPAS
39,HUITIUPAN,CHIAPAS
38,HUIXTAN,CHIAPAS
40,HUIXTLA,CHIAPAS
42,IXHUATAN,CHIAPAS
43,IXTACOMITAN,CHIAPAS
44,IXTAPA,CHIAPAS
45,IXTAPANGAJOYA,CHIAPAS
46,JIQUIPILAS,CHIAPAS
47,JITOTOL,CHIAPAS
48,JUAREZ,CHIAPAS
20,LA CONCORDIA,CHIAPAS
36,LA GRANDEZA,CHIAPAS
41,LA INDEPENDENCIA,CHIAPAS
50,LA LIBERTAD,CHIAPAS
99,LA TRINITARIA,CHIAPAS
49,LARRAINZAR,CHIAPAS
52,LAS MARGARITAS,CHIAPAS
75,LAS ROSAS,CHIAPAS
51,MAPASTEPEC,CHIAPAS
115,MARAVILLA TENEJAPA,CHIAPAS
116,MARQUES DE COMILLAS,CHIAPAS
53,MAZAPA DE MADERO,CHIAPAS
54,MAZATAN,CHIAPAS
55,METAPA,CHIAPAS
122,MEZCALAPA,CHIAPAS
56,MITONTIC,CHIAPAS
117,MONTECRISTO DE GUERRERO,CHIAPAS
57,MOTOZINTLA,CHIAPAS
58,NICOLAS RUIZ,CHIAPAS
59,OCOSINGO,CHIAPAS
60,OCOTEPEC,CHIAPAS
61,OCOZOCOAUTLA DE ESPINOSA,CHIAPAS
62,OSTUACAN,CHIAPAS
63,OSUMACINTA,CHIAPAS
64,OXCHUC,CHIAPAS
65,PALENQUE,CHIAPAS
66,PANTELHO,CHIAPAS
67,PANTEPEC,CHIAPAS
68,PICHUCALCO,CHIAPAS
69,PIJIJIAPAN,CHIAPAS
72,PUEBLO NUEVO SOLISTAHUACAN,CHIAPAS
73,RAYON,CHIAPAS
74,REFORMA,CHIAPAS
76,SABANILLA,CHIAPAS
77,SALTO DE AGUA,CHIAPAS
118,SAN ANDRES DURAZNAL,CHIAPAS
78,SAN CRISTOBAL DE LAS CASAS,CHIAPAS
79,SAN FERNANDO,CHIAPAS
112,SAN JUAN CANCUC,CHIAPAS
110,SAN LUCAS,CHIAPAS
119,SANTIAGO EL PINAR,CHIAPAS
80,SILTEPEC,CHIAPAS
81,SIMOJOVEL,CHIAPAS
82,SITALA,CHIAPAS
83,SOCOLTENANGO,CHIAPAS
84,SOLUSUCHIAPA,CHIAPAS
85,SOYALO,CHIAPAS
86,SUCHIAPA,CHIAPAS
87,SUCHIATE,CHIAPAS
88,SUNUAPA,CHIAPAS
89,TAPACHULA,CHIAPAS
90,TAPALAPA,CHIAPAS
91,TAPILULA,CHIAPAS
92,TECPATAN,CHIAPAS
93,TENEJAPA,CHIAPAS
94,TEOPISCA,CHIAPAS
95,TERAN,CHIAPAS
96,TILA,CHIAPAS
97,TONALA,CHIAPAS
98,TOTOLAPA,CHIAPAS
100,TUMBALA,CHIAPAS
102,TUXTLA CHICO,CHIAPAS
101,TUXTLA GUTIERREZ,CHIAPAS
103,TUZANTAN,CHIAPAS
104,TZIMOL,CHIAPAS
105,UNION JUAREZ,CHIAPAS
106,VENUSTIANO CARRANZA,CHIAPAS
71,VILLA DE COMALTITLAN,CHIAPAS
108,VILLA FLORES,CHIAPAS
107,VILLACORZO,CHIAPAS
109,YAJALON,CHIAPAS
111,ZINACANTAN,CHIAPAS
1,AHUMADA,CHIHUAHUA
2,ALDAMA,CHIHUAHUA
3,ALLENDE,CHIHUAHUA
4,AQUILES SERDAN,CHIHUAHUA
5,ASCENSION,CHIHUAHUA
6,BACHINIVA,CHIHUAHUA
7,BALLEZA,CHIHUAHUA
8,BATOPILAS,CHIHUAHUA
9,BOCOYNA,CHIHUAHUA
10,BUENAVENTURA,CHIHUAHUA
11,CAMARGO,CHIHUAHUA
12,CARICHIC,CHIHUAHUA
13,CASAS GRANDES,CHIHUAHUA
19,CHIHUAHUA,CHIHUAHUA
20,CHINIPAS,CHIHUAHUA
14,CORONADO,CHIHUAHUA
15,COYAME DEL SOTOL,CHIHUAHUA
17,CUAUHTEMOC,CHIHUAHUA
18,CUSIHUIRIACHI,CHIHUAHUA
21,DELICIAS,CHIHUAHUA
22,DR. BELISARIO DOMINGUEZ,CHIHUAHUA
64,EL TULE,CHIHUAHUA
23,GALEANA,CHIHUAHUA
25,GOMEZ FARIAS,CHIHUAHUA
26,GRAN MORELOS,CHIHUAHUA
27,GUACHOCHI,CHIHUAHUA
28,GUADALUPE,CHIHUAHUA
29,GUADALUPE Y CALVO,CHIHUAHUA
30,GUAZAPARES,CHIHUAHUA
31,GUERRERO,CHIHUAHUA
32,HIDALGO DEL PARRAL,CHIHUAHUA
33,HUEJOTITAN,CHIHUAHUA
34,IGNACIO ZARAGOZA,CHIHUAHUA
35,JANOS,CHIHUAHUA
36,JIMENEZ,CHIHUAHUA
37,JUAREZ,CHIHUAHUA
38,JULIMES,CHIHUAHUA
16,LA CRUZ,CHIHUAHUA
39,LOPEZ,CHIHUAHUA
40,MADERA,CHIHUAHUA
41,MAGUARICHIC,CHIHUAHUA
42,MANUEL BENAVIDES,CHIHUAHUA
43,MATACHIC,CHIHUAHUA
44,MATAMOROS,CHIHUAHUA
45,MEOQUI,CHIHUAHUA
46,MORELOS,CHIHUAHUA
47,MORIS,CHIHUAHUA
48,NAMIQUIPA,CHIHUAHUA
49,NONOAVA,CHIHUAHUA
50,NUEVO CASAS GRANDES,CHIHUAHUA
51,OCAMPO,CHIHUAHUA
52,OJINAGA,CHIHUAHUA
53,PRAXEDIS G. GUERRERO,CHIHUAHUA
54,RIVA PALACIO,CHIHUAHUA
55,ROSALES,CHIHUAHUA
56,ROSARIO,CHIHUAHUA
57,SAN FCO. DE BORJA,CHIHUAHUA
58,SAN FCO. DE CONCHOS,CHIHUAHUA
59,SAN FCO. DEL ORO,CHIHUAHUA
60,SANTA BARBARA,CHIHUAHUA
24,SANTA ISABEL,CHIHUAHUA
61,SATEVO,CHIHUAHUA
62,SAUCILLO,CHIHUAHUA
63,TEMOSACHIC,CHIHUAHUA
65,URIQUE,CHIHUAHUA
66,URUACHI,CHIHUAHUA
67,VALLE DE ZARAGOZA,CHIHUAHUA
1,ALVARO OBREGON,CIUDAD DE MEXICO
2,AZCAPOTZALCO,CIUDAD DE MEXICO
3,BENITO JUAREZ,CIUDAD DE MEXICO
4,COYOACAN,CIUDAD DE MEXICO
5,CUAJIMALPA DE MORELOS,CIUDAD DE MEXICO
6,CUAUHTEMOC,CIUDAD DE MEXICO
7,GUSTAVO A. MADERO,CIUDAD DE MEXICO
8,IZTACALCO,CIUDAD DE MEXICO
9,IZTAPALAPA,CIUDAD DE MEXICO
10,MAGDALENA CONTRERAS,CIUDAD DE MEXICO
11,MIGUEL HIDALGO,CIUDAD DE MEXICO
12,MILPA ALTA,CIUDAD DE MEXICO
13,TLAHUAC,CIUDAD DE MEXICO
14,TLALPAN,CIUDAD DE MEXICO
15,VENUSTIANO CARRANZA,CIUDAD DE MEXICO
16,XOCHIMILCO,CIUDAD DE MEXICO
1,ABASOLO,COAHUILA
2,ACUNA,COAHUILA
3,ALLENDE,COAHUILA
4,ARTEAGA,COAHUILA
5,CANDELA,COAHUILA
6,CASTANOS,COAHUILA
7,CUATROCIENEGAS DE CARRANZA,COAHUILA
8,ESCOBEDO,COAHUILA
9,FRANCISCO I MADERO,COAHUILA
10,FRONTERA,COAHUILA
11,GENERAL CEPEDA,COAHUILA
12,GUERRERO,COAHUILA
13,HIDALGO,COAHUILA
14,JIMENEZ,COAHUILA
15,JUAREZ,COAHUILA
16,LAMADRID,COAHUILA
17,MATAMOROS,COAHUILA
18,MONCLOVA,COAHUILA
19,MORELOS,COAHUILA
20,MUZQUIZ,COAHUILA
21,NADADORES,COAHUILA
22,NAVA,COAHUILA
23,OCAMPO,COAHUILA
24,PARRAS,COAHUILA
25,PIEDRAS NEGRAS,COAHUILA
26,PROGRESO,COAHUILA
27,RAMOS ARIZPE,COAHUILA
28,SABINAS,COAHUILA
29,SACRAMENTO,COAHUILA
30,SALTILLO,COAHUILA
31,SAN BUENAVENTURA,COAHUILA
32,SAN JUAN DE SABINAS,COAHUILA
33,SAN PEDRO,COAHUILA
34,SIERRA MOJADA,COAHUILA
35,TORREON,COAHUILA
36,VIESCA,COAHUILA
37,VILLA UNION,COAHUILA
38,ZARAGOZA,COAHUILA
1,ARMERIA,COLIMA
2,COLIMA,COLIMA
3,COMALA,COLIMA
4,COQUIMATLAN,COLIMA
5,CUAUHTEMOC,COLIMA
6,IXTLAHUACAN,COLIMA
7,MANZANILLO,COLIMA
8,MINATITLAN,COLIMA
9,TECOMAN,COLIMA
10,VILLA DE ALVAREZ,COLIMA
1,CANATLAN,DURANGO
2,CANELAS,DURANGO
3,CONETO DE COMONFORT,DURANGO
4,CUENCAME,DURANGO
5,DURANGO,DURANGO
18,EL ORO,DURANGO
6,GENERAL SIMON BOLIVAR,DURANGO
7,GOMEZ PALACIO,DURANGO
8,GUADALUPE VICTORIA,DURANGO
9,GUANACEVI,DURANGO
10,HIDALGO,DURANGO
11,INDE,DURANGO
12,LERDO,DURANGO
13,MAPIMI,DURANGO
14,MEZQUITAL,DURANGO
15,NAZAS,DURANGO
16,NOMBRE DE DIOS,DURANGO
39,NUEVO IDEAL,DURANGO
17,OCAMPO,DURANGO
19,OTAEZ,DURANGO
20,PANUCO DE CORONADO,DURANGO
21,PENON BLANCO,DURANGO
22,POANAS,DURANGO
23,PUEBLO NUEVO,DURANGO
24,RODEO,DURANGO
25,SAN BERNARDO,DURANGO
26,SAN DIMAS,DURANGO
27,SAN JUAN DE GUADALUPE,DURANGO
28,SAN JUAN DEL RIO,DURANGO
29,SAN LUIS DEL CORDERO,DURANGO
30,SAN PEDRO DEL GALLO,DURANGO
31,SANTA CLARA,DURANGO
32,SANTIAGO PAPASQUIARO,DURANGO
33,SUCHIL,DURANGO
34,TAMAZULA,DURANGO
35,TEPEHUANES,DURANGO
36,TLAHUALILO,DURANGO
37,TOPIA,DURANGO
38,VICENTE GUERRERO,DURANGO
1,ABASOLO,GUANAJUATO
2,ACAMBARO,GUANAJUATO
4,APASEO EL ALTO,GUANAJUATO
5,APASEO EL GRANDE,GUANAJUATO
6,ATARJEA,GUANAJUATO
7,CELAYA,GUANAJUATO
9,COMONFORT,GUANAJUATO
10,CORONEO,GUANAJUATO
11,CORTAZAR,GUANAJUATO
12,CUERAMARO,GUANAJUATO
13,DOCTOR MORA,GUANAJUATO
14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,GUANAJUATO
15,GUANAJUATO,GUANAJUATO
16,HUANIMARO,GUANAJUATO
17,IRAPUATO,GUANAJUATO
18,JARAL DEL PROGRESO,GUANAJUATO
19,JERECUARO,GUANAJUATO
20,LEON,GUANAJUATO
8,MANUEL DOBLADO,GUANAJUATO
21,MOROLEON,GUANAJUATO
22,OCAMPO,GUANAJUATO
23,PENJAMO,GUANAJUATO
24,PUEBLO NUEVO,GUANAJUATO
25,PURISIMA DEL RINCON,GUANAJUATO
26,ROMITA,GUANAJUATO
27,SALAMANCA,GUANAJUATO
28,SALVATIERRA,GUANAJUATO
29,SAN DIEGO DE LA UNION,GUANAJUATO
30,SAN FELIPE,GUANAJUATO
31,SAN FRANCISCO DEL RINCON,GUANAJUATO
32,SAN JOSE ITURBIDE,GUANAJUATO
33,SAN LUIS DE LA PAZ,GUANAJUATO
3,SAN MIGUEL ALLENDE,GUANAJUATO
34,SANTA CATARINA,GUANAJUATO
35,SANTA CRUZ DE JUVENTINO ROSAS,GUANAJUATO
36,SANTIAGO MARAVATIO,GUANAJUATO
37,SILAO,GUANAJUATO
38,TARANDACUAO,GUANAJUATO
39,TARIMORO,GUANAJUATO
40,TIERRABLANCA,GUANAJUATO
41,URIANGATO,GUANAJUATO
42,VALLE DE SANTIAGO,GUANAJUATO
43,VICTORIA,GUANAJUATO
44,VILLAGRAN,GUANAJUATO
45,XICHU,GUANAJUATO
46,YURIRIA,GUANAJUATO
1,ACAPULCO DE JUAREZ,GUERRERO
76,ACATEPEC,GUERRERO
2,AHUACUOTZINGO,GUERRERO
3,AJUCHITLAN DEL PROGRESO,GUERRERO
4,ALCOZAUCA DE GUERRERO,GUERRERO
5,ALPOYECA,GUERRERO
6,APAXTLA,GUERRERO
7,ARCELIA,GUERRERO
8,ATENANGO DEL RIO,GUERRERO
9,ATLAMAJALCINGO DEL MONTE,GUERRERO
10,ATLIXTAC,GUERRERO
11,ATOYAC DE ALVAREZ,GUERRERO
12,AYUTLA DE LOS LIBRES,GUERRERO
13,AZOYU,GUERRERO
14,BENITO JUAREZ,GUERRERO
15,BUENAVISTA DE CUELLAR,GUERRERO
28,CHILAPA DE ALVAREZ,GUERRERO
29,CHILPANCINGO DE LOS BRAVO,GUERRERO
16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,GUERRERO
78,COCHOAPA EL GRANDE,GUERRERO
17,COCULA,GUERRERO
18,COPALA,GUERRERO
19,COPALILLO,GUERRERO
20,COPANATOYAC,GUERRERO
21,COYUCA DE BENITEZ,GUERRERO
22,COYUCA DE CATALAN,GUERRERO
23,CUAJINICUILAPA,GUERRERO
24,CUALAC,GUERRERO
25,CUAUTEPEC,GUERRERO
26,CUETZALA DEL PROGRESO,GUERRERO
27,CUTZAMALA DE PINZON,GUERRERO
75,EDUARDO NERI,GUERRERO
30,FLORENCIO VILLARREAL,GUERRERO
31,GENERAL CANUTO A. NERI,GUERRERO
32,GENERAL HELIODORO CASTILLO,GUERRERO
33,HUAMUXTITLAN,GUERRERO
34,HUITZUCO DE LOS FIGUEROA,GUERRERO
35,IGUALA DE LA INDEPENDENCIA,GUERRERO
36,IGUALAPA,GUERRERO
81,ILIATENCO,GUERRERO
37,IXCATEOPAN DE CUAUHTEMOC,GUERRERO
79,JOSE JOAQUIN DE HERRERA,GUERRERO
39,JUAN R. ESCUDERO,GUERRERO
80,JUCHITAN,GUERRERO
40,LEONARDO BRAVO,GUERRERO
41,MALINALTEPEC,GUERRERO
77,MARQUELIA,GUERRERO
42,MARTIR DE CUILAPAN,GUERRERO
43,METLATONOC,GUERRERO
44,MOCHITLAN,GUERRERO
45,OLINALA,GUERRERO
46,OMETEPEC,GUERRERO
47,PEDRO ASCENCIO ALQUICIRAS,GUERRERO
48,PETATLAN,GUERRERO
49,PILCAYA,GUERRERO
50,PUNGARABATO,GUERRERO
51,QUECHULTENANGO,GUERRERO
52,SAN LUIS ACATLAN,GUERRERO
53,SAN MARCOS,GUERRERO
54,SAN MIGUEL TOTOLAPAN,GUERRERO
55,TAXCO DE ALARCON,GUERRERO
56,TECOANAPA,GUERRERO
57,TECPAN DE GALEANA,GUERRERO
58,TELOLOAPAN,GUERRERO
59,TEPECOACUILCO DE TRUJANO,GUERRERO
60,TETIPAC,GUERRERO
61,TIXTLA DE GUERRERO,GUERRERO
62,TLACOACHISTLAHUACA,GUERRERO
63,TLACOAPA,GUERRERO
64,TLALCHAPA,GUERRERO
65,TLALIXTAQUILLA DE MALDONADO,GUERRERO
66,TLAPA DE COMONFORT,GUERRERO
67,TLAPEHUALA,GUERRERO
68,"UNION DE ISIDORO MONTES DE OCA, LA",GUERRERO
69,XALPATLAHUAC,GUERRERO
70,XOCHIHUEHUETLAN,GUERRERO
71,XOCHISTLAHUACA,GUERRERO
72,ZAPOTITLAN TABLAS,GUERRERO
38,ZIHUATANEJO DE AZUETA,GUERRERO
73,ZIRANDARO,GUERRERO
74,ZITLALA,GUERRERO
1,ACATLAN,HIDALGO
2,ACAXOCHITLAN,HIDALGO
3,ACTOPAN,HIDALGO
4,AGUA BLANCA DE ITURBIDE,HIDALGO
5,AJACUBA,HIDALGO
6,ALFAJAYUCAN,HIDALGO
7,ALMOLOYA,HIDALGO
8,APAN,HIDALGO
10,ATITALAQUIA,HIDALGO
11,ATLAPEXCO,HIDALGO
13,ATOTONILCO DE TULA,HIDALGO
12,ATOTONILCO EL GRANDE,HIDALGO
14,CALNALI,HIDALGO
15,CARDONAL,HIDALGO
17,CHAPANTONGO,HIDALGO
18,CHAPULHUACAN,HIDALGO
19,CHILCUAUTLA,HIDALGO
16,CUAUTEPEC DE HINOJOSA,HIDALGO
9,EL ARENAL,HIDALGO
20,ELOXOCHITLAN,HIDALGO
21,EMILIANO ZAPATA,HIDALGO
22,EPAZOYUCAN,HIDALGO
23,FRANCISCO I. MADERO,HIDALGO
24,HUASCA DE OCAMPO,HIDALGO
25,HUAUTLA,HIDALGO
26,HUAZALINGO,HIDALGO
27,HUEHUETLA,HIDALGO
28,HUEJUTLA DE REYES,HIDALGO
29,HUICHAPAN,HIDALGO
30,IXMIQUILPAN,HIDALGO
31,JACALA DE LEDEZMA,HIDALGO
32,JALTOCAN,HIDALGO
33,JUAREZ HIDALGO,HIDALGO
40,LA MISION,HIDALGO
34,LOLOTLA,HIDALGO
35,METEPEC,HIDALGO
37,METZTITLAN,HIDALGO
51,MINERAL DE LA REFORMA,HIDALGO
38,MINERAL DEL CHICO,HIDALGO
39,MINERAL DEL MONTE,HIDALGO
41,MIXQUIAHUALA DE JUAREZ,HIDALGO
42,MOLANGO DE ESCAMILLA,HIDALGO
43,NICOLAS FLORES,HIDALGO
44,NOPALA DE VILLAGRAN,HIDALGO
45,OMITLAN DE JUAREZ,HIDALGO
48,PACHUCA DE SOTO,HIDALGO
47,PACULA,HIDALGO
49,PISAFLORES,HIDALGO
50,PROGRESO DE OBREGON,HIDALGO
36,SAN AGUSTIN METZQUITITLAN,HIDALGO
52,SAN AGUSTIN TLAXIACA,HIDALGO
53,SAN BARTOLO TUTOTEPEC,HIDALGO
46,SAN FELIPE ORIZATLAN,HIDALGO
54,SAN SALVADOR,HIDALGO
55,SANTIAGO DE ANAYA,HIDALGO
56,SANTIAGO TULANTEPEC DE LUGO GUERRERO,HIDALGO
57,SINGUILUCAN,HIDALGO
58,TASQUILLO,HIDALGO
59,TECOZAUTLA,HIDALGO
60,TENANGO DE DORIA,HIDALGO
61,TEPEAPULCO,HIDALGO
62,TEPEHUACAN DE GUERRERO,HIDALGO
63,TEPEJI DEL RIO DE OCAMPO,HIDALGO
64,TEPETITLAN,HIDALGO
65,TETEPANGO,HIDALGO
67,TEZONTEPEC DE ALDAMA,HIDALGO
68,TIANGUISTENGO,HIDALGO
69,TIZAYUCA,HIDALGO
70,TLAHUELILPAN,HIDALGO
71,TLAHUILTEPA,HIDALGO
72,TLANALAPA,HIDALGO
73,TLANCHINOL,HIDALGO
74,TLAXCOAPAN,HIDALGO
75,TOLCAYUCA,HIDALGO
76,TULA DE ALLENDE,HIDALGO
77,TULANCINGO DE BRAVO,HIDALGO
66,VILLA DE TEZONTEPEC,HIDALGO
78,XOCHIATIPAN,HIDALGO
79,XOCHICOATLAN,HIDALGO
80,YAHUALICA,HIDALGO
81,ZACUALTIPAN DE ANGELES,HIDALGO
82,ZAPOTLAN DE JUAREZ,HIDALGO
83,ZEMPOALA,HIDALGO
84,ZIMAPAN,HIDALGO
1,ACATIC,JALISCO
2,ACATLAN DE JUAREZ,JALISCO
3,AHUALULCO DE MERCADO,JALISCO
4,AMACUECA,JALISCO
5,AMATITAN,JALISCO
6,AMECA,JALISCO
8,ARANDAS,JALISCO
10,ATEMAJAC DE BRIZUELA,JALISCO
11,ATENGO,JALISCO
12,ATENGUILLO,JALISCO
13,ATOTONILCO EL ALTO,JALISCO
14,ATOYAC,JALISCO
15,AUTLAN DE NAVARRO,JALISCO
16,AYOTLAN,JALISCO
17,AYUTLA,JALISCO
19,BOLANOS,JALISCO
20,CABO CORRIENTES,JALISCO
21,CASIMIRO CASTILLO,JALISCO
30,CHAPALA,JALISCO
31,CHIMALTITAN,JALISCO
32,CHIQUILISTLAN,JALISCO
22,CIHUATLAN,JALISCO
24,COCULA,JALISCO
25,COLOTLAN,JALISCO
26,CONCEPCION DE BUENOS AIRES,JALISCO
27,CUAUTITLAN DE GARCIA BARRAGAN,JALISCO
28,CUAUTLA,JALISCO
29,CUQUIO,JALISCO
33,DEGOLLADO,JALISCO
34,EJUTLA,JALISCO
9,EL ARENAL,JALISCO
37,EL GRULLO,JALISCO
54,EL LIMON,JALISCO
70,EL SALTO,JALISCO
35,ENCARNACION DE DIAZ,JALISCO
36,ETZATLAN,JALISCO
79,GOMEZ FARIAS,JALISCO
38,GUACHINANGO,JALISCO
39,GUADALAJARA,JALISCO
40,HOSTOTIPAQUILLO,JALISCO
41,HUEJUCAR,JALISCO
42,HUEJUQUILLA EL ALTO,JALISCO
44,IXTLAHUACAN DE LOS MEMBRILLOS,JALISCO
45,IXTLAHUACAN DEL RIO,JALISCO
46,JALOSTOTITLAN,JALISCO
47,JAMAY,JALISCO
48,JESUS MARIA,JALISCO
49,JILOTLAN DE LOS DOLORES,JALISCO
50,JOCOTEPEC,JALISCO
51,JUANACATLAN,JALISCO
52,JUCHITLAN,JALISCO
18,LA BARCA,JALISCO
43,LA HUERTA,JALISCO
57,LA MANZANILLA DE LA PAZ,JALISCO
53,LAGOS DE MORENO,JALISCO
55,MAGDALENA,JALISCO
58,MASCOTA,JALISCO
59,MAZAMITLA,JALISCO
60,MEXTICACAN,JALISCO
61,MEZQUITIC,JALISCO
62,MIXTLAN,JALISCO
63,OCOTLAN,JALISCO
64,OJUELOS DE JALISCO,JALISCO
65,PIHUAMO,JALISCO
66,PONCITLAN,JALISCO
67,PUERTO VALLARTA,JALISCO
69,QUITUPAN,JALISCO
71,SAN CRISTOBAL DE LA BARRANCA,JALISCO
72,SAN DIEGO DE ALEJANDRIA,JALISCO
113,SAN GABRIEL,JALISCO
73,SAN JUAN DE LOS LAGOS,JALISCO
7,SAN JUANITO DE ESCOBEDO,JALISCO
74,SAN JULIAN,JALISCO
75,SAN MARCOS,JALISCO
76,SAN MARTIN DE BOLANOS,JALISCO
77,SAN MARTIN HIDALGO,JALISCO
78,SAN MIGUEL EL ALTO,JALISCO
80,SAN SEBASTIAN DEL OESTE,JALISCO
56,SANTA MARIA DEL ORO,JALISCO
82,SAYULA,JALISCO
81,STA. MA. DE LOS ANGELES,JALISCO
83,TALA,JALISCO
84,TALPA DE ALLENDE,JALISCO
85,TAMAZULA DE GORDIANO,JALISCO
86,TAPALPA,JALISCO
87,TECALITLAN,JALISCO
89,TECHALUTA DE MONTENEGRO,JALISCO
88,TECOLOTLAN,JALISCO
92,TECUITATLAN DE CORONA,JALISCO
90,TENAMAXTLAN,JALISCO
91,TEOCALTICHE,JALISCO
93,TEPATITLAN DE MORELOS,JALISCO
94,TEQUILA,JALISCO
95,TEUCHITLAN,JALISCO
96,TIZAPAN EL ALTO,JALISCO
97,TLAJOMULCO DE ZUNIGA,JALISCO
98,TLAQUEPAQUE,JALISCO
99,TOLIMAN,JALISCO
100,TOMATLAN,JALISCO
101,TONALA,JALISCO
102,TONAYA,JALISCO
103,TONILA,JALISCO
104,TOTATIQUE,JALISCO
105,TOTOTLAN,JALISCO
106,TUXCACUESCO,JALISCO
107,TUXCUECA,JALISCO
108,TUXPAN,JALISCO
109,UNION DE SAN ANTONIO,JALISCO
110,UNION DE TULA,JALISCO
111,VALLE DE GUADALUPE,JALISCO
112,VALLE DE JUAREZ,JALISCO
114,VILLA CORONA,JALISCO
115,VILLA GUERRERO,JALISCO
116,VILLA HIDALGO,JALISCO
117,VILLA OBREGON,JALISCO
68,VILLA PURIFICACION,JALISCO
118,YAHUALICA DE GLEZ. GALLO,JALISCO
119,ZACOALCO DE TORRES,JALISCO
120,ZAPOPAN,JALISCO
121,ZAPOTILTIC,JALISCO
122,ZAPOTITLAN,JALISCO
123,ZAPOTLAN DEL REY,JALISCO
23,ZAPOTLAN EL GRANDE,JALISCO
124,ZAPOTLANEJO,JALISCO
1,ACAMBAY,MEXICO
2,ACOLMAN,MEXICO
3,ACULCO,MEXICO
4,ALMOLOYA DE ALQUISIRAS,MEXICO
5,ALMOLOYA DE JUAREZ,MEXICO
6,ALMOLOYA DEL RIO,MEXICO
7,AMANALCO,MEXICO
